source,series_name,enabled,frequency,stat_code,item_code1,item_code2,item_code3,item_code4,ticker,field,expected_name_kr,old_stat_code,old_item_code1,old_item_code2
YAHOO,VIX,Y,D,,,,,,^VIX,Close,Volatility Index,,,
YAHOO,DXY_dollar_index,Y,D,,,,,,DX-Y.NYB,Close,US Dollar Index,,,
YAHOO,Nikkei225,Y,D,,,,,,^N225,Close,Nikkei 225,,,
YAHOO,Shanghai_Composite,Y,D,,,,,,000001.SS,Close,SSE Composite,,,
YAHOO,natural_gas,Y,D,,,,,,NG=F,Close,Natural Gas,,,
YAHOO,soybean,Y,D,,,,,,ZS=F,Close,Soybean,,,
YAHOO,corn,Y,D,,,,,,ZC=F,Close,Corn,,,
ECOS,BSI_mfg_biz,Y,M,512Y013,C0000,AA,,,,,기업경기조사(실적)|제 조 업|업황실적BSI,,,
ECOS,BSI_mfg_export,Y,M,512Y013,C0000,AM,,,,,기업경기조사(실적)|제 조 업|수출실적BSI,,,
ECOS,BSI_mfg_domestic,Y,M,512Y013,C0000,AL,,,,,기업경기조사(실적)|제 조 업|내수판매실적BSI,,,
ECOS,BSI_nonmfg_biz,Y,M,512Y013,Y9900,AA,,,,,기업경기조사(실적)|비제조업|업황실적BSI,,,
ECOS,CSI_composite,Y,M,511Y002,FME,99988,,,,,소비자동향조사|소비자심리지수,,,
ECOS,CSI_living_prospect,Y,M,511Y002,FMBA,99988,,,,,소비자동향조사|생활형편전망CSI,,,
ECOS,CP_91d,Y,D,817Y002,010503000,,,,,,CP(91일),,,
ECOS,MSB_91d,Y,D,817Y002,010400000,,,,,,통안증권(91일),,,
PUBLIC,unsold_housing,Y,M,,,,,,,,미분양,,,
PUBLIC,unemployment_rate,Y,M,,,,,,,,실업률,,,
PUBLIC,construction_cost_index,Y,M,,,,,,,,건설공사비지수,,,

# ----------------------------------------------------------
# [2026-08-30] GNI_annual / GNI_nominal / GNI_per_capita -> enabled=N
#   사유: frequency=A(연간) 지표는 월 패널에 upsample+ffill 되어
#   12개월간 동일 값이 된다. 시차를 얼마로 주든 (기업,연도) 내 변동이
#   0 이 되어 시점 누수 구조가 된다 (STAGE 6 의 CG01_MISSING_YN 과 동일).
#   data_preprocessing.md 도 GNI_annual 을 사전 드롭 대상으로 명시한다.
#   되살리려면 enabled=Y 로 바꾸고 GROUP_*_COLS 에 배정할 것.
#
# [2026-09-01] GNI 3건 — **의도적 드롭으로 확정**. (d) 지표 부재 미결 3건과 구분한다.
#   사유 1 (기존): 연간 지표는 월 패널에 upsample+ffill 되어 12개월 동일값이 된다.
#     (기업,연도) 내 변동이 0 이 되어 시점 누수 구조가 된다.
#   사유 2 (신규): 항목코드도 틀려 있다. 251Y003 은 Group1(구분코드) / Group2(계정항목)
#     2차원 표인데, GNI_nominal(NS1B) / GNI_per_capita(NS1C) 는 Group2 코드를
#     item_code1(Group1) 자리에 넣었고, GNI_annual(S) 는 Group2 를 지정하지 않았다.
#   → 사유 1 만으로 이미 드롭이 확정이므로 항목코드는 정정하지 않는다.
#     되살리는 결정이 나면 차원 구조부터 재설계할 것 (item_code1=구분코드, item_code2=계정항목).
#   감사: eda_pipeline/output/validation/ECOS_MAPPING_AUDIT.md 「의도적 드롭」
