series_name,name_kr,name_en,category_kr,category_en,source,frequency,unit
WTI_crude_oil,WTI 원유 선물,WTI Crude Oil Futures,원자재,Commodities,YAHOO,D,달러/배럴
brent_crude_oil,브렌트유 선물,Brent Crude Oil Futures,원자재,Commodities,YAHOO,D,달러/배럴
gold,금 선물,Gold Futures,원자재,Commodities,YAHOO,D,달러/트로이온스
silver,은 선물,Silver Futures,원자재,Commodities,YAHOO,D,달러/트로이온스
copper,구리 선물,Copper Futures,원자재,Commodities,YAHOO,D,달러/파운드
natural_gas,천연가스 선물,Natural Gas Futures,원자재,Commodities,YAHOO,D,달러/MMBtu
soybean,대두 선물,Soybean Futures,원자재,Commodities,YAHOO,D,센트/부셸
corn,옥수수 선물,Corn Futures,원자재,Commodities,YAHOO,D,센트/부셸
# ============================================================
# [13] 해외 금리 및 변동성 (Global Rates & Volatility)
# ============================================================
US_10Y_treasury,미국 10년물 국채 수익률,US 10-Year Treasury Yield,해외 금리,Global Rates,YAHOO,D,연%
US_3M_tbill,미국 13주 재정증권 수익률,US 13-Week Treasury Bill Yield,해외 금리,Global Rates,YAHOO,D,연%
DXY_dollar_index,달러 인덱스 (DXY),US Dollar Index (DXY),해외 금리,Global Rates,YAHOO,D,포인트
VIX,VIX 변동성 지수,CBOE Volatility Index (VIX),변동성,Volatility,YAHOO,D,포인트

# ============================================================
# [14] 심리, 위험, 스프레드 지표 (Sentiment, Risk, Spread)
# ============================================================
BSI_mfg_biz,제조업 업황BSI,BSI Mfg Business,심리,Sentiment,ECOS,M,지수
BSI_mfg_export,제조업 수출BSI,BSI Mfg Export,심리,Sentiment,ECOS,M,지수
BSI_mfg_domestic,제조업 내수BSI,BSI Mfg Domestic,심리,Sentiment,ECOS,M,지수
BSI_nonmfg_biz,비제조업 업황BSI,BSI Non-Mfg Business,심리,Sentiment,ECOS,M,지수
CSI_composite,소비자심리지수(CCSI),CCSI Composite,심리,Sentiment,ECOS,M,지수

# ============================================================
# [14] 심리, 위험, 스프레드 지표 (Sentiment, Risk, Spread)
# ============================================================
BSI_mfg_biz,제조업 업황BSI,BSI Mfg Business,심리,Sentiment,ECOS,M,지수
BSI_mfg_export,제조업 수출BSI,BSI Mfg Export,심리,Sentiment,ECOS,M,지수
BSI_mfg_domestic,제조업 내수BSI,BSI Mfg Domestic,심리,Sentiment,ECOS,M,지수
BSI_nonmfg_biz,비제조업 업황BSI,BSI Non-Mfg Business,심리,Sentiment,ECOS,M,지수
CSI_composite,소비자심리지수(CCSI),CCSI Composite,심리,Sentiment,ECOS,M,지수
CSI_living_prospect,생활형편전망CSI,CSI Living Prospect,심리,Sentiment,ECOS,M,지수
CP_91d,CP 금리 (91일),CP Rate (91D),금리,Interest Rates,ECOS,D,연%
MSB_91d,통안증권 금리 (91일),MSB Rate (91D),금리,Interest Rates,ECOS,D,연%
unsold_housing,미분양 주택수,Unsold Housing,실물위험,Real Risk,PUBLIC,M,호
unemployment_rate,실업률,Unemployment Rate,실물위험,Real Risk,PUBLIC,M,%
construction_cost_index,건설공사비지수,Construction Cost Index,실물위험,Real Risk,PUBLIC,M,지수
