V_BZNO|CONM|ETB_DT|COPR_OPNP_C|BZSCAL_C|EMPCN|STD_INDS_CFC|
1000000055|테스트55|19631223|10|2|9240|46742|
1000000056|테스트56|19580821|15||43|41220|
1000000057|테스트57|19580908|30|4|5|68112|
1000000058|테스트58|19580901|91|4|38|46611|
1000000059|테스트59|19470509|40|4|5|68112|
1000000060|테스트60|19471007|10|6|568|21210|
1000000061|테스트61|19480924|30|6|552|58111|
1000000062|테스트62|19700401|30|4|8|46800|
1000000063|테스트63|19540805|10|2|527|41220|
1000000064|테스트64|19650119|10||42|64992|
1000000065|테스트65|19840510|40|4|15|68112|
1000000066|테스트66|19750731|30|4|14|68112|
1000000067|테스트67|19550805|10||456|46107|
1000000068|테스트68|19450808|10||1103|21212|
1000000069|테스트69|19530810|10|6|316|13211|
1000000070|테스트70|19520624|40|4|4|68112|
1000000071|테스트71|19700401|10|2|209|25993|
1000000072|테스트72|19700602|10|6|827|20302|
1000000073|테스트73|19590319|30|4|6|68112|
1000000074|테스트74|19530428|10|2|2176|26112|
1000000075|테스트75|19740101|30|2|49|68112|
1000000076|테스트76|19590212|21|2|381|21212|
1000000077|테스트77|19590307|10||40|64992|
1000000078|테스트78|19691015|40|4|50|55101|
1000000079|테스트79|19690216|40|4|20|68112|
1000000080|테스트80|19570210|30|4|11|46593|
1000000081|테스트81|19590909|21|4|352|21212|
1000000082|테스트82|19600801|40|4|2|68112|
1000000083|테스트83|19591017|10||251|22232|
1000000084|테스트84|19350525|10|4|80|28410|
1000000085|테스트85|19540609|30||31|91210|
1000000086|테스트86|19540101|10||2902|11100|
1000000087|테스트87|19560626|30|4|179|91121|
1000000088|테스트88|19650220|10|2|2642|47111|
1000000089|테스트89|19551229|10||421|30399|
1000000090|테스트90|19560110|10|2|34|21212|
1000000091|테스트91|19710101|92|4|331|74211|
1000000092|테스트92|19701013|10||26|64992|
1000000093|테스트93|19590416|10|4|123|21212|
1000000094|테스트94|19570316|29||36|41220|
1000000095|테스트95|19661103|10|2|514|64992|
1000000096|테스트96|19570412|10|2|91|64992|
1000000097|테스트97|19570427|10||10|71531|
1000000098|테스트98|19570614|10|2|199|14120|
1000000099|테스트99|19540707|10||44|64992|
1000000100|테스트100|19540731|10|2|265|46800|
1000000101|테스트101|19590521|30||519|25931|
1000000102|테스트102|19590610|30||55|24199|
1000000103|테스트103|19641020|30||131|41112|
1000000104|테스트104|19590716|10|2|273|24191|
1000000105|테스트105|19590727|10|2|272|21212|
1000000106|테스트106|19701228|30||81|10902|
1000000107|테스트107|19600201|10||1088|29210|
1000000108|테스트108|19701029|30|4|122|49301|
1000000109|테스트109|19580110|91|2|2238|10502|
1000000110|테스트110|19560830|23||160|41100|
1000000111|테스트111|19410510|10|2|1226|64992|
1000000112|테스트112|19610915|10||3009|10820|
1000000113|테스트113|19621206|10||4126|30121|
1000000114|테스트114|19621222|21|4|501|25200|
1000000115|테스트115|19550204|10|2|49|24112|
1000000116|테스트116|19550221|10|2|1382|28302|
1000000117|테스트117|19550523|30|6|26|46712|
1000000118|테스트118|19620116|21|4|179|10902|
1000000119|테스트119|19620117|30||67|41121|
1000000120|테스트120|19601214|30|2|222|25991|
1000000121|테스트121|19601228|10|2|3273|41220|
1000000122|테스트122|19640310|30|4|65|24121|
1000000123|테스트123|19540427|10||947|21212|
1000000124|테스트124|19620420|30||1834|72121|
1000000125|테스트125|19620505|10|6|2616|72121|
1000000126|테스트126|19620514|30||1082|23311|
1000000127|테스트127|19441210|10|2|36501|30121|
1000000128|테스트128|19701105|10|4|18|46201|
1000000129|테스트129|19630309|10|2|1907|72121|
1000000130|테스트130|19620221|29|2|3708|41220|
1000000131|테스트131|19610316|10||171|27212|
1000000132|테스트132|19611228|10||24|23311|
1000000133|테스트133|19640501|10||828|10211|
1000000134|테스트134|19620824|30|2|445|58121|
1000000135|테스트135|18970925|10||825|21212|
1000000136|테스트136|19471206|30|2|217|17102|
1000000137|테스트137|19700505|10||186|3111|
1000000138|테스트138|19650818|30||683|58121|
1000000139|테스트139|19570112|30|4|20|46799|
1000000140|테스트140|19651027|30|4|42|52992|
1000000141|테스트141|19641113|10|2|208|46592|
1000000142|테스트142|19641211|10||241|23999|
1000000143|테스트143|19571205|10|2|117|24199|
1000000144|테스트144|19650921|30||687|58121|
1000000145|테스트145|19700330|40|4|10|47911|
1000000146|테스트146|19710401|30||367|41220|
1000000147|테스트147|19690718|21||275|27112|
1000000148|테스트148|19651101|30|4|165|28113|
1000000149|테스트149|19650610|10|4|62|46521|
1000000150|테스트150|19650918|10||5444|10820|
1000000151|테스트151|19551017|10|4|231|10602|
1000000152|테스트152|19701229|40|4|13|75211|
1000000153|테스트153|19710101|92|4|48|75210|
1000000154|테스트154|19651231|10|6|271|23326|
1000000155|테스트155|19791213|30|4|259|49212|
1000000156|테스트156|19660307|10|2|599|17109|
1000000157|테스트157|19730719|40|4|40|68112|
1000000158|테스트158|19660407|10|2|476|24122|
1000000159|테스트159|19740410|30|4|80|46713|
1000000160|테스트160|19660421|40|4|20|10220|
1000000161|테스트161|19660611|30|4|80|91121|
1000000162|테스트162|19760421|40|4|150|49231|
1000000163|테스트163|19660906|30|4|91|26529|
1000000164|테스트164|19670316|10|6|628|23311|
1000000165|테스트165|19661202|91||194|64992|
1000000166|테스트166|19830327|40|4|12|68112|
1000000167|테스트167|19670213|30|4|6|68112|
1000000168|테스트168|19670224|10|2|858|41100|
1000000169|테스트169|19670324|10|2|257|64992|
1000000170|테스트170|19670418|10|2|614|24132|
1000000171|테스트171|19670428|30|2|235|22231|
1000000172|테스트172|19690401|30|2|3088|19210|
1000000173|테스트173|19670627|10|2|210|35100|
1000000174|테스트174|19670720|30|4|6|68122|
1000000175|테스트175|19391010|10|2|21|20111|
1000000176|테스트176|19671229|10|2|72582|30121|
1000000177|테스트177|19680101|30||1878|72121|
1000000178|테스트178|19671230|10||92|30399|
1000000179|테스트179|19670901|21||404|24122|
1000000180|테스트180|19680118|30|4|70|29293|
1000000181|테스트181|19551115|10|2|107|20312|
1000000182|테스트182|19680228|30|4|13|41000|
1000000183|테스트183|19680309|40|4|4|68112|
1000000184|테스트184|19771103|30|2|932|68112|
1000000185|테스트185|19680418|10||819|21212|
1000000186|테스트186|19680509|40|4|8|46800|
1000000187|테스트187|19570712|10|2|385|20321|
1000000188|테스트188|19710510|30|4|12|52101|
1000000189|테스트189|19710213|10|2|5068|47122|
1000000190|테스트190|19680629|10|6|3056|10712|
1000000191|테스트191|19641119|30|2|2106|19210|
1000000192|테스트192|19680701|30|2|37|46313|
1000000193|테스트193|19680730|30|4|43|68112|
1000000194|테스트194|19690204|30|4|86|75993|
1000000195|테스트195|19710304|40|4|27|72129|
1000000196|테스트196|19690214|21||35|10421|
1000000197|테스트197|19720101|30|4|147|55101|
1000000198|테스트198|19690415|29||114|41112|
1000000199|테스트199|19690609|10||834|10211|
1000000200|테스트200|19690726|40|5|0|68111|
1000000201|테스트201|19690901|30|6|217|23192|
1000000202|테스트202|19620619|10|2|18184|51100|
1000000203|테스트203|19691014|40|4|11|68112|
1000000204|테스트204|19691101|10|2|0||
1000000205|테스트205|19691101|10|6|2272|21210|
1000000206|테스트206|19741112|30|4|58|21230|
1000000207|테스트207|19691230|10||93|20111|
1000000208|테스트208|19691230|91||369|23311|
1000000209|테스트209|19710319|10||502|10219|
1000000210|테스트210|19710409|10||409|23999|
1000000211|테스트211|19710430|40|5|1|13403|
1000000212|테스트212|19710720|30|4|5|68112|
1000000213|테스트213|19710524|10|2|1065|75210|
1000000214|테스트214|19711115|10||311|21212|
1000000215|테스트215|19711119|30|4|135|29174|
1000000216|테스트216|19711201|21||367|25941|
1000000217|테스트217|19711209|10|2|2|64992|
1000000218|테스트218|19840203|30|4|30|55101|
1000000219|테스트219|19830701|30|4|1|68112|
1000000220|테스트220|19650114|10||834|52990|
1000000221|테스트221|19460701|10||665|21212|
1000000222|테스트222|19711231|10|6|236|20412|
1000000223|테스트223|19720222|10|6|811|20302|
1000000224|테스트224|19720224|10||7|64992|
1000000225|테스트225|19720420|30|4|105|20311|
1000000226|테스트226|19661223|30|2|0|55101|
1000000227|테스트227|19661223|30|4|97|91210|
1000000228|테스트228|19670914|30||292|52929|
1000000229|테스트229|19720910|30||211|22212|
1000000230|테스트230|19720921|21|4|172|21230|
1000000231|테스트231|19730517|40|4|46|10891|
1000000232|테스트232|19780710|40|4|13|68112|
1000000233|테스트233|19721214|10|2|283|24121|
1000000234|테스트234|19730507|29||293|25913|
1000000235|테스트235|19730110|30||27|13101|
1000000236|테스트236|19730408|30||176|25200|
1000000237|테스트237|19730121|10|2|61|24199|
1000000238|테스트238|19730122|30|2|174|25991|
1000000239|테스트239|19730310|30|4|10|47130|
1000000240|테스트240|19730621|29||792|41220|
1000000241|테스트241|19730226|30|2|4576|55101|
1000000242|테스트242|19730509|10|2|1883|47130|
1000000243|테스트243|19730512|30|6|161|20119|
1000000244|테스트244|19730513|21|4|86|26291|
1000000245|테스트245|19730522|30|4|105|29176|
1000000246|테스트246|19730720|10||459|49300|
1000000247|테스트247|19730814|10||269|52992|
1000000248|테스트248|19631016|10|2|1014|21212|
1000000249|테스트249|19680212|10||257|20495|
1000000250|테스트250|19730926|10||825|14112|
1000000251|테스트251|19731031|30||654|72111|
1000000252|테스트252|19760501|30||33|24199|
1000000253|테스트253|19740507|40|4|7|68112|
1000000254|테스트254|19750216|30||5|68112|
1000000255|테스트255|19740116|30|4|111|28122|
1000000256|테스트256|19740201|40|4|31|20312|
1000000257|테스트257|19740721|30|2|136|30393|
1000000258|테스트258|19740321|30|4|243|46441|
1000000259|테스트259|19561017|30|2|1228|41000|
1000000260|테스트260|19750501|30||193|46712|
1000000261|테스트261|19740615|30|4|57|41110|
1000000262|테스트262|19740508|30||253|68212|
1000000263|테스트263|19740508|10|2|587|20312|
1000000264|테스트264|19740523|10|4|85|22214|
1000000265|테스트265|19740619|30||185|23322|
1000000266|테스트266|19740611|21||324|47400|
1000000267|테스트267|19740801|10|2|1944|24213|
1000000268|테스트268|19740805|10|2|10112|31111|
1000000269|테스트269|19750217|40|4|7|46539|
1000000270|테스트270|19730309|15||124|46413|
1000000271|테스트271|19750120|30|4|280|10709|
1000000272|테스트272|19750108|30|4|10|68112|
1000000273|테스트273|19750204|30||303|46750|
1000000274|테스트274|19841101|30|4|14|68112|
1000000275|테스트275|19750520|40|4|11|29131|
1000000276|테스트276|20100815|40|4|9|42202|
1000000277|테스트277|19750702|30|4|9|91121|
1000000278|테스트278|19770530|30||39|46441|
1000000279|테스트279|19750903|30||980|25995|
1000000280|테스트280|19750901|92|2|0|95200|
1000000281|테스트281|19750911|40|4|34|95211|
1000000282|테스트282|19720204|10||1359|26223|
1000000283|테스트283|19751030|30|6|20|46721|
1000000284|테스트284|19760106|10|2|3532|19210|
1000000285|테스트285|19760206|21||128|28909|
1000000286|테스트286|19760224|10|2|12211|26299|
1000000287|테스트287|19770101|40|4|15|28123|
1000000288|테스트288|19760304|10||183|32021|
1000000289|테스트289|19760316|10|2|4313|20111|
1000000290|테스트290|19760325|30|4|27|46591|
1000000291|테스트291|19760325|10|2|1923|50112|
1000000292|테스트292|19760407|30|2|1264|41000|
1000000293|테스트293|19760526|40|4|27|68112|
1000000294|테스트294|19760616|30||302|41220|
1000000295|테스트295|19760716|30|4|17|46595|
1000000296|테스트296|19521206|10||219|23311|
1000000297|테스트297|19760817|30|5|10|68112|
1000000298|테스트298|19770101|30||4079|74220|
1000000299|테스트299|19770701|30|4|7|68112|
1000000300|테스트300|19760916|30||281|41100|
1000000301|테스트301|19761005|30|4|264|66201|
1000000302|테스트302|19760929|30|4|7|46311|
1000000303|테스트303|19761104|10|2|95|26112|
1000000304|테스트304|19761208|10||273|46800|
1000000305|테스트305|19761210|10||1604|20201|
1000000306|테스트306|19770201|30|2|1968|52992|
1000000307|테스트307|19750901|10|2|357|23324|
1000000308|테스트308|19841020|30|4|5|68112|
1000000309|테스트309|20000321|40|4|11|41111|
1000000310|테스트310|19770315|10|2|964|62021|
1000000311|테스트311|19770321|40|4|3|68119|
1000000312|테스트312|19770330|30||27|24121|
1000000313|테스트313|19781011|30|4|27|28902|
1000000314|테스트314|19650529|10|2|231|22232|
1000000315|테스트315|19770506|30|4|42|29176|
1000000316|테스트316|19770613|30|4|105|18119|
1000000317|테스트317|19770624|30|4|23|46109|
1000000318|테스트318|19770617|30|4|102|24221|
1000000319|테스트319|19850821|30|2|85|46102|
1000000320|테스트320|19770701|10|2|12409|30399|
1000000321|테스트321|19760315|10|2|360|10211|
1000000322|테스트322|19770701|30||60|91121|
1000000323|테스트323|19770701|30|2|0||
1000000324|테스트324|19770718|30|4|65|72919|
1000000325|테스트325|19770810|21||41|49301|
1000000326|테스트326|19770919|21|6|250|46712|
1000000327|테스트327|19771010|29|2|143|47414|
1000000328|테스트328|19771101|40|4|16|72129|
1000000329|테스트329|19771013|30|4|41|29180|
1000000330|테스트330|19771014|21||148|24123|
1000000331|테스트331|19771020|30||1217|41110|
1000000332|테스트332|19580812|10|2|3688|20421|
1000000333|테스트333|19771206|21||272|46799|
1000000334|테스트334|19831025|40|4|5|68122|
1000000335|테스트335|19771214|30|2|388|58121|
1000000336|테스트336|19780130|40|4|24|28511|
1000000337|테스트337|19780216|30|9|120|46313|
1000000338|테스트338|19780228|40|4|15|1121|
1000000339|테스트339|19780330|30|4|94|91121|
1000000340|테스트340|19780314|30|2|208|30331|
1000000341|테스트341|19780430|30|4|14|24199|
1000000342|테스트342|19780427|40|8|0|68111|
1000000343|테스트343|19790309|30||56|46712|
1000000344|테스트344|19780516|40|4|5|42420|
1000000345|테스트345|19780818|30|4|10|46599|
1000000346|테스트346|19780605|30|4|51|24131|
1000000347|테스트347|19781106|30||73|42121|
1000000348|테스트348|19780623|10||482|41000|
1000000349|테스트349|19780715|30|4|114|25921|
1000000350|테스트350|19780720|30|2|15|10796|
1000000351|테스트351|19780804|40|4|1|46799|
1000000352|테스트352|19781101|30|2|22|55101|
1000000353|테스트353|19781019|10|2|5854|41225|
1000000354|테스트354|19781023|30|2|333|14300|
1000000355|테스트355|19781202|30|4|47|49301|
1000000356|테스트356|19790201|30|4|99|14192|
1000000357|테스트357|19781222|10|2|157|41229|
1000000358|테스트358|19781222|30|2|3802|47111|
1000000359|테스트359|19790120|30|6|537|49311|
1000000360|테스트360|19790122|30|5|8|68112|
1000000361|테스트361|19790227|30|4|93|46102|
1000000362|테스트362|19790307|40|4|3|49231|
1000000363|테스트363|19790313|30||552|20122|
1000000364|테스트364|19790222|40|4|21|19100|
1000000365|테스트365|19790307|30|6|1063|72111|
1000000366|테스트366|19790828|30|2|3344|55103|
1000000367|테스트367|19790410|40|4|46|46331|
1000000368|테스트368|19790427|21|4|182|47111|
1000000369|테스트369|19790428|21|4|93|46800|
1000000370|테스트370|19790626|30|4|90|68112|
1000000371|테스트371|19790605|21|6|251|26529|
1000000372|테스트372|19790715|30||90|46311|
1000000373|테스트373|19790713|21||623|55101|
1000000374|테스트374|19790901|40|4|62|41129|
1000000375|테스트375|19790915|30|4|25|55101|
1000000376|테스트376|19791025|30|2|1596|46329|
1000000377|테스트377|19791128|40|4|36|13401|
1000000378|테스트378|19800620|40|4|7|68222|
1000000379|테스트379|19800213|30|4|53|52992|
1000000380|테스트380|19800307|30|4|40|68112|
1000000381|테스트381|19800313|10||709|20129|
1000000382|테스트382|19800327|10||259|10219|
1000000383|테스트383|19800501|40|4|12|46800|
1000000384|테스트384|19800502|10||1175|41000|
1000000385|테스트385|19800510|10|2|236|20129|
1000000386|테스트386|19800527|30||125|42202|
1000000387|테스트387|19800610|21|2|97|24122|
1000000388|테스트388|19800628|30|4|2|25929|
1000000389|테스트389|19801005|30|4|162|72129|
1000000390|테스트390|19800820|30|2|167|14193|
1000000391|테스트391|19771014|10|2|13|64992|
1000000392|테스트392|19800910|30|4|81|38322|
1000000393|테스트393|19800908|10||150|14112|
1000000394|테스트394|19801020|30|2|228|55103|
1000000395|테스트395|19801025|10|2|1081|47414|
1000000396|테스트396|19810501|30|4|1|68112|
1000000397|테스트397|19801220|40|2|0||
1000000398|테스트398|19810218|30|4|46|42205|
1000000399|테스트399|19810201|30||49|41110|
1000000400|테스트400|19810318|30|4|200|55101|
1000000401|테스트401|20000607|40|4|27|41112|
1000000402|테스트402|19860804|30|4|10|68112|
1000000403|테스트403|19810705|30|4|9|68112|
1000000404|테스트404|19810610|30||85|46712|
1000000405|테스트405|19821005|30|4|45|41220|
1000000406|테스트406|19810701|30||94|27195|
1000000407|테스트407|19531228|30||9|49300|
1000000408|테스트408|19810720|40|4|8|46326|
1000000409|테스트409|19820201|30|4|92|10129|
1000000410|테스트410|19810724|21|2|117|26429|
1000000411|테스트411|19800122|10||271|23312|
1000000412|테스트412|19791011|10|2|1981|56130|
1000000413|테스트413|19811031|30|4|442|75310|
1000000414|테스트414|19811209|30|4|74|20129|
1000000415|테스트415|19811208|21||1175|62021|
1000000416|테스트416|19820101|40|4|171|72919|
1000000417|테스트417||||0|47100|
1000000418|테스트418|19820121|30|4|60|56199|
1000000419|테스트419|19811228|30|4|9|46739|
1000000420|테스트420|19811228|40|5|1|46109|
1000000421|테스트421|19820201|30||98|46510|
1000000422|테스트422|19820215|30|4|3|58121|
1000000423|테스트423|19820410|30|4|8|68111|
1000000424|테스트424|19830323|30||307|41112|
1000000425|테스트425|19820506|30|4|46|19221|
1000000426|테스트426|19820412|40|4|9|42201|
1000000427|테스트427|19820412|40|4|60|26129|
1000000428|테스트428|19850501|40|4|239|66201|
1000000429|테스트429|19820524|30|4|98|21212|
1000000430|테스트430|19820701|30|4|65|85614|
1000000431|테스트431|19820511|30||54|38312|
1000000432|테스트432|19820601|30||250|33110|
1000000433|테스트433|19820607|30|4|254|21210|
1000000434|테스트434|19820615|30|2|187|68112|
1000000435|테스트435|19820715|40||96|26299|
1000000436|테스트436|19821207|91|4|168|52942|
1000000437|테스트437|19840516|40|4|12|68112|
1000000438|테스트438|19560131|10||5090|10520|
1000000439|테스트439|19820914|21|2|806|41122|
1000000440|테스트440|19821215|30|4|7|68112|
1000000441|테스트441|19821010|30|4|328|72919|
1000000442|테스트442|19810407|30|4|29|42132|
1000000443|테스트443|19830104|30||132|41220|
1000000444|테스트444|19821022|21||567|41100|
1000000445|테스트445|19821119|30||268|41220|
1000000446|테스트446|19840810|30|4|200|10129|
1000000447|테스트447|19821227|40|4|7|46611|
1000000448|테스트448|19830101|40|4|37|46433|
1000000449|테스트449|19830101|40|4|27|23325|
1000000450|테스트450|19821221|30|4|350|72121|
1000000451|테스트451|19830110|30|4|82|42131|
1000000452|테스트452|19830101|30|4|112|14191|
1000000453|테스트453|19831231|30|4|44|10832|
1000000454|테스트454|19830207|40||73|18112|
1000000455|테스트455|19830301|30||3797|74100|
1000000456|테스트456|19850401|30|4|29|46102|
1000000457|테스트457|19830308|40|5|52|72921|
1000000458|테스트458|19830324|30|2|87|91191|
1000000459|테스트459|19830401|30||65|28410|
1000000460|테스트460|19830501|30||128|23325|
1000000461|테스트461|19840401|30|4|47|20122|
1000000462|테스트462|19830705|30|4|112|52992|
1000000463|테스트463|19830527|30|4|42|42196|
1000000464|테스트464|19830530|21||189|41110|
1000000465|테스트465|19830701|30||54|46491|
1000000466|테스트466|19830714|40|4|11|46329|
1000000467|테스트467|19881001|30|2|142|42420|
1000000468|테스트468|19831005|21|4|261|26529|
1000000469|테스트469|19831201|30|2|22|42132|
1000000470|테스트470|19831021|40|4|3|22232|
1000000471|테스트471|19831024|30|5|12|68112|
1000000472|테스트472|19740112|30|4|76|17901|
1000000473|테스트473|19850701|30||148|46311|
1000000474|테스트474|19840104|30|2|1726|72121|
1000000475|테스트475|19740427|10|2|5464|20111|
1000000476|테스트476|19840101|60|2|0||
1000000477|테스트477|19831206|21|4|108|46739|
1000000478|테스트478|19831228|40|4|11|23991|
1000000479|테스트479|19840220|30|4|33|41100|
1000000480|테스트480|19901105|30||1634|14192|
1000000481|테스트481|19840315|30|4|156|26421|
1000000482|테스트482|19840302|30|4|59|42201|
1000000483|테스트483|19840222|40|4|17|46739|
1000000484|테스트484|19840227|30|4|143|29192|
1000000485|테스트485|19890303|40|4|2|68112|
1000000486|테스트486|19840806|30||292|41112|
1000000487|테스트487|19840918|30|4|324|66201|
1000000488|테스트488|19840420|10|2|5316|61220|
1000000489|테스트489|19840430|30|4|71|15211|
1000000490|테스트490|19840406|40|4|9|46326|
1000000491|테스트491|19840501|30||50|64992|
1000000492|테스트492|19840531|10|6|508|71520|
1000000493|테스트493|19850624|40|4|33|46102|
1000000494|테스트494|19840701|30|4|111|28121|
1000000495|테스트495|19840728|21||644|23322|
1000000496|테스트496|19840703|30|4|63|20499|
1000000497|테스트497|19850601|30|4|115|30399|
1000000498|테스트498|19840901|30|4|66|46593|
1000000499|테스트499|19840911|30|4|136|72111|
1000000500|테스트500|19840906|10|2|332|46713|
1000000501|테스트501|19841022|30|4|147|13101|
1000000502|테스트502|19841012|40|4|18|42122|
1000000503|테스트503|19841020|21||393|21212|
1000000504|테스트504|19841030|30||485|30399|
1000000505|테스트505|19841205|30|4|161|10891|
1000000506|테스트506|19841105|91|4|3|68112|
1000000507|테스트507|19841121|30|4|66|46443|
1000000508|테스트508|19841205|40|4|5|13213|
1000000509|테스트509|19841201|30|4|145|33992|
1000000510|테스트510|19841210|30|4|58|29293|
1000000511|테스트511|19841205|30||426|10897|
1000000512|테스트512|19810301|40|4|18|33120|
1000000513|테스트513|19850201|30||135|14199|
1000000514|테스트514|19850401|40|4|150|10211|
1000000515|테스트515|19850216|30|4|51|42202|
1000000516|테스트516|19850501|30||96|46102|
1000000517|테스트517|19850228|10|2|24423|26210|
1000000518|테스트518|19850401|10||770|63991|
1000000519|테스트519|19821027|10||1147|24122|
1000000520|테스트520|19850318|10|2|171|14199|
1000000521|테스트521|19700120|10|2|13341|28202|
1000000522|테스트522|19850401|30||72|46441|
1000000523|테스트523|19850425|10||925|20422|
1000000524|테스트524|19850701|30|4|195|72111|
1000000525|테스트525|19850701|30|4|826|66201|
1000000526|테스트526|19850701|92|0|0|72910|
1000000527|테스트527|19850625|30|4|99|22251|
1000000528|테스트528|19850617|40|5|4|46739|
1000000529|테스트529|19850628|30||187|26529|
1000000530|테스트530|19850707|40|4|4|46433|
1000000531|테스트531|19850801|40|4|5|46611|
1000000532|테스트532|19850731|21|6|558|20119|
1000000533|테스트533|19850810|91||97|24199|
1000000534|테스트534|19961128|30|4|30|46599|
1000000535|테스트535|19850910|30||88|46441|
1000000536|테스트536|19530801|30||269|50112|
1000000537|테스트537|19851025|30||244|25121|
1000000538|테스트538|19850925|21||187|73203|
1000000539|테스트539|19851120|30|4|36|46441|
1000000540|테스트540|19851015|30||56|46441|
1000000541|테스트541|19851101|30||1726|75310|
1000000542|테스트542|19851101|40|4|0|     |
1000000543|테스트543|19851101|30||94|64992|
1000000544|테스트544|19851227|30|4|13|42491|
1000000545|테스트545|19851214|30|2|1353|55101|
1000000546|테스트546|19851122|20|1|1339|55101|
1000000547|테스트547|19851216|30|4|46|46413|
1000000548|테스트548|19851126|30|2|0||
1000000549|테스트549|19851126|40|5|14|42311|
1000000550|테스트550|19860101|30|4|81|46592|
1000000551|테스트551|19851218|30|4|65|20122|
1000000552|테스트552|19860101|40|4|3|10832|
1000000553|테스트553|19851220|10|2|623|46713|
1000000554|테스트554|19851224|30||362|29172|
1000000555|테스트555|19860201|30|4|87|10603|
1000000556|테스트556|19830818|10|2|572|62010|
1000000557|테스트557|19851230|21||168|26292|
1000000558|테스트558|19860115|40|4|4|46329|
1000000559|테스트559|19860109|10|2|755|63120|
1000000560|테스트560|19860113|40|5|38|10129|
1000000561|테스트561|19721214|40|5|17|10612|
1000000562|테스트562|19860301|23|4|126|29299|
1000000563|테스트563|19860307|40|5|4|68119|
1000000564|테스트564|19860401|30|4|33|26299|
1000000565|테스트565|19840204|30|4|935|66201|
1000000566|테스트566|19860415|30|2|275|46712|
1000000567|테스트567|19860510|40|4|15|29171|
1000000568|테스트568|19790612|21|6|124|46739|
1000000569|테스트569|19751201|30||64|64992|
1000000570|테스트570|19860512|40|4|8|42132|
1000000571|테스트571|20121101|30|4|2|68112|
1000000572|테스트572|19860509|21|6|278|61299|
1000000573|테스트573|19860519|30||122|46712|
1000000574|테스트574|19930927|30|4|131|30399|
1000000575|테스트575|19860701|30||1303|46452|
1000000576|테스트576|19860701|30|4|13|42412|
1000000577|테스트577|19980801|30|4|12|68112|
1000000578|테스트578|19860701|40|4|4|33401|
1000000579|테스트579|19860630|40|5|2|68121|
1000000580|테스트580|19871013|40|4|44|38110|
1000000581|테스트581|19861130|30|4|9|55101|
1000000582|테스트582|19860701|30|2|193|46413|
1000000583|테스트583|19890306|30|4|245|10897|
1000000584|테스트584|19860825|10||119|24290|
1000000585|테스트585|19860901|40|5|28|17222|
1000000586|테스트586|19860911|10||50|64992|
1000000587|테스트587|19860915|30|2|6|47111|
1000000588|테스트588|19870115|30||5614|10602|
