V_BZNO|CRDEVL_PTTP_DSC_2021|LS_NICS_GRDC_2021|CRDEVL_PTTP_DSC_2022|LS_NICS_GRDC_2022|CRDEVL_PTTP_DSC_2023|LS_NICS_GRDC_2023|CRDEVL_PTTP_DSC_2024|LS_NICS_GRDC_2024|CRDEVL_PTTP_DSC_2025|LS_NICS_GRDC_2025|
1000000039|11|6|11|5|11|5|11|7|11|7|
1000000040|||||||||12|7|
1000000041|11|3|11|3|11|3|11|3|11|3|
1000000042|12|6|12|6|12|6|12|8|12|11|
1000000043|||||||11|4|11|4|
1000000044|||||11|6|11|8|11|5|
1000000045|12|7|12|7|12|6|12|6|12|6|
1000000046|||11|6|11|6|11|6|11|6|
1000000047|12|7|12|7|11|7|11|7|12|8|
1000000048|11|4|11|5|11|6|11|5|11|4|
1000000049|||||11|4|11|4|11|4|
1000000050|11|5|11|5|11|5|11|5|11|6|
1000000051|||11|3|||||||
1000000053|12|12|12|13|12|13|12|7|12|6|
1000000054|11|3|11|3|11|3|11|3|11|3|
1000000055|11|2|11|2|11|2|11|2|11|2|
1000000056|11|10|11|10|11|12|11|17|||
1000000057|12|7|12|7|12|7|||||
1000000058|12|15|||||||||
1000000059|13|8|13|8|13|7|13|7|13|6|
1000000060|11|8|11|9|11|8|11|9|11|7|
1000000061|11|1|11|1|11|1|11|1|11|1|
1000000062|12|9|12|8|12|7|12|7|12|7|
1000000063|||11|8|||11|9|||
1000000064|12|6|12|6|12|6|12|6|12|6|
1000000065|13|13|13|12|13|13|13|8|13|8|
1000000066|12|6|12|7|12|7|12|8|||
1000000067|||||||||11|6|
1000000068|11|8|11|5|11|4|11|3|11|2|
1000000069|11|6|11|6|11|7|11|7|11|7|
1000000070|||||13|7|13|8|13|8|
1000000071|11|11|11|10|11|6|11|9|11|10|
1000000072|||||||11|5|11|6|
1000000073|12|12|12|12|12|12|12|12|12|12|
1000000074|11|5|11|4|11|4|11|4|11|4|
1000000075|||||||||12|5|
1000000076|11|4|11|3|11|3|11|3|11|3|
1000000077|12|9|12|6|12|11|12|9|||
1000000078|13|12|13|12|13|14|||||
1000000079|13|6|13|6|13|6|||||
1000000080|12|6|12|6|12|7|12|7|12|8|
1000000081|||||||11|5|11|5|
1000000082|12|15|||||||||
1000000083|||11|7|11|8|11|10|||
1000000084|12|15|12|15|12|15|||||
1000000085|12|10|12|12|12|11|12|10|12|11|
1000000086|11|5|11|5|11|5|11|5|11|5|
1000000087|12|13|12|9|12|9|12|7|12|14|
1000000088|11|3|11|3|11|3|11|3|11|3|
1000000089|11|8|11|8|11|5|11|5|11|5|
1000000090|||12|4|12|4|12|5|12|4|
1000000092|12|6|12|6|12|6|12|6|12|8|
1000000094|||||||11|13|11|15|
1000000095|11|5|11|4|11|4|11|4|11|5|
1000000096|||||||||12|8|
1000000097|12|4|12|3|||||||
1000000098|11|9|11|7|11|10|11|12|11|12|
1000000099|11|7|11|7|11|7|||||
1000000100|11|6|11|7|11|6|11|6|11|5|
1000000101|11|3|11|2|11|2|11|2|11|2|
1000000102|11|6|11|5|11|6|11|6|11|8|
1000000103|12|8|11|8|11|8|11|8|11|8|
1000000104|11|9|11|6|11|6|11|7|11|6|
1000000105|11|4|11|6|||||||
1000000106|12|7|11|7|11|7|11|7|11|7|
1000000107|11|6|11|5|11|5|11|5|11|5|
1000000108|12|7|12|7|12|7|12|8|12|8|
1000000109|11|3|11|3|||||||
1000000110|11|8|11|10|11|9|11|13|||
1000000111|11|1|11|1|11|2|11|3|11|3|
1000000112|11|2|11|2|11|2|||||
1000000113|||||11|6|11|6|11|6|
1000000114|||||12|6|12|7|11|6|
1000000115|11|6|||||12|5|11|4|
1000000116|11|9|11|8|11|6|11|6|11|4|
1000000117|||||11|5|11|7|11|8|
1000000118|12|5|12|5|12|5|11|3|11|2|
1000000119|||11|12|11|15|11|15|12|16|
1000000120|11|1|11|2|11|2|11|2|11|2|
1000000121|11|8|11|8|11|9|11|9|11|9|
1000000122|12|13|12|11|12|14|12|14|12|15|
1000000123|||||||11|6|11|9|
1000000124|11|6|11|6|11|5|11|5|11|5|
1000000125|11|3|11|3|11|3|11|3|11|5|
1000000126|11|5|11|5|11|5|11|5|11|5|
1000000127|11|2|11|2|11|2|11|2|11|1|
1000000128|12|14|12|6|12|3|12|3|12|3|
1000000129|11|7|11|5|11|6|11|6|11|6|
1000000130|11|7|11|7|11|7|11|7|11|7|
1000000131|||||||11|4|11|5|
1000000132|12|4|12|4|12|4|12|4|12|4|
1000000133|11|4|11|4|11|4|11|4|11|4|
1000000134|||||||||11|4|
1000000135|||||||||11|3|
1000000136|11|2|11|3|11|5|11|13|11|13|
1000000137|12|7|11|5|11|6|12|11|11|7|
1000000138|||||11|6|11|4|11|5|
1000000139|12|7|12|5|12|5|12|6|12|4|
1000000140|12|7|12|7|12|8|12|7|12|7|
1000000141|11|3|||||||||
1000000142|||11|5|11|4|11|4|11|5|
1000000143|11|8|11|5|11|6|11|6|11|7|
1000000144|11|6|11|6|11|6|11|8|11|8|
1000000145|||12|7|12|13|12|13|12|13|
1000000146|11|7|11|7|11|6|11|7|11|7|
1000000147|||||||||11|3|
1000000148|12|10|12|8|12|13|12|16|||
1000000149|12|8|12|7|12|7|12|8|12|8|
1000000150|11|1|11|1|11|1|11|1|11|1|
1000000151|12|13|12|14|12|13|||||
1000000152|||||13|6|13|9|13|10|
1000000154|11|3|11|3|11|6|11|6|11|7|
1000000155|12|9|12|14|12|14|||||
1000000156|11|6|11|7|11|7|11|8|11|9|
1000000157|13|8|13|8|13|13|13|8|13|8|
1000000158|11|3|11|3|11|4|11|5|11|5|
1000000159|12|6|12|7|12|7|12|8|12|7|
1000000160|13|13|13|11|13|14|||||
1000000161|||||12|6|12|6|12|6|
1000000162|13|11|13|12|13|12|||||
1000000163|12|8|12|7|12|10|12|8|12|9|
1000000164|11|6|11|6|11|7|11|6|11|6|
1000000165|11|8|11|8|11|8|||||
1000000166|||||13|6|13|6|13|6|
1000000167|12|13|12|13|12|8|12|9|12|14|
1000000168|11|7|11|8|11|8|11|8|11|8|
1000000169|11|3|11|3|11|3|11|3|11|4|
1000000170|11|5|11|4|11|3|11|3|11|4|
1000000171|11|5|11|5|11|5|11|5|11|5|
1000000172|11|2|11|2|11|2|11|2|11|2|
1000000173|11|6|11|5|11|5|11|5|11|5|
1000000174|12|10|||12|7|12|8|12|13|
1000000175|11|5|||11|4|11|4|11|4|
1000000176|11|2|11|2|11|2|11|1|11|1|
1000000177|||||11|9|11|9|11|7|
1000000178|11|11|11|11|11|16|||||
1000000179|11|4|11|4|11|4|11|4|11|5|
1000000180|12|8|12|7|12|6|12|5|12|6|
1000000181|12|6|12|6|11|6|11|7|11|7|
1000000182|12|15|12|16|12|15|12|15|12|15|
1000000183|||||12|14|||||
1000000184|||||||||||
1000000185|11|2|11|2|11|3|11|4|11|4|
1000000186|13|13|13|13|13|13|13|12|13|13|
1000000187|11|3|11|3|11|3|11|3|11|3|
1000000188|12|8|||||||||
1000000189|11|3|11|3|11|3|11|3|11|3|
1000000190|11|5|11|4|11|4|11|4|11|4|
1000000191|11|4|11|4|11|4|11|4|11|4|
1000000192|11|12|12|9|11|9|12|8|11|8|
1000000193|12|6|12|5|||||12|4|
1000000194|12|5|12|6|12|4|12|6|12|4|
1000000195|||||||13|10|13|9|
1000000196|12|7|12|4|12|7|12|3|||
1000000197|12|14|15|9|||12|14|12|14|
1000000198|11|8|11|8|11|9|11|12|11|13|
1000000199|11|4|11|4|11|5|11|4|11|4|
1000000200|||||||15|8|15|8|
1000000201|11|4|11|4|11|7|11|7|11|9|
1000000202|11|8|11|6|11|6|11|5|11|4|
1000000203|||13|5|13|4|13|6|13|6|
1000000204|11|3|11|3|11|3|11|4|11|4|
1000000206|12|7|12|8|12|8|12|8|12|8|
1000000207|11|8|11|8|11|17|||12|17|
1000000208|11|5|11|4|11|4|11|4|11|4|
1000000209|11|6|11|6|11|6|11|6|11|8|
1000000210|11|4|11|6|11|4|11|4|11|4|
1000000211|||13|8|13|7|13|8|13|7|
1000000212|12|13|12|12|12|13|||||
1000000213|12|14|12|15|11|14|11|14|||
1000000214|12|14|12|14|12|14|12|14|12|14|
1000000215|12|7|12|5|12|7|12|5|12|6|
1000000216|11|8|11|8|11|8|11|8|11|7|
1000000217|||||||||12|3|
1000000218|12|5|12|10|12|10|12|4|12|4|
1000000219|||||13|10|12|11|12|10|
1000000220|11|9|11|9|11|8|11|7|11|7|
1000000221|||||||11|4|11|5|
1000000222|11|2|||||||11|2|
1000000223|||11|3|11|3|11|4|11|5|
1000000224|11|2|12|3|12|3|||||
1000000225|12|11|12|9|12|9|12|9|12|12|
1000000226|12|7|12|8|12|7|12|6|12|5|
1000000228|11|7|11|7|11|7|11|8|11|8|
1000000229|11|5|||||||11|4|
1000000230|||12|7|12|8|||||
1000000231|13|13|13|13|13|14|13|13|13|13|
1000000232|||13|5|||||||
1000000233|11|6|11|6|11|4|11|4|11|4|
1000000234|11|8|11|8|11|7|11|7|11|9|
1000000235|11|8|11|7|11|6|12|9|12|13|
1000000236|12|5|12|4|12|4|12|4|||
1000000237|11|5|11|4|11|4|11|6|11|6|
1000000238|11|4|12|6|11|5|11|4|11|4|
1000000239|11|14|11|14|12|14|12|14|12|14|
1000000240|11|7|11|7|11|7|11|7|11|8|
1000000241|11|4|11|4|11|4|11|4|11|4|
1000000242|11|4|11|4|11|4|||11|4|
1000000243|||||||11|4|11|6|
1000000244|12|8|12|8|11|8|11|7|11|8|
1000000245|12|5|12|5|12|5|||||
1000000246|11|5|11|4|11|5|11|5|11|5|
1000000247|11|7|11|7|11|7|11|6|11|6|
1000000248|11|3|11|3|11|3|11|3|11|4|
1000000249|||11|6|11|6|11|7|11|10|
1000000250|11|8|11|7|11|6|11|7|11|7|
1000000251|11|2|||11|2|11|5|11|5|
1000000252|11|10|11|10|11|10|11|10|11|11|
1000000253|13|7|13|6|||||||
1000000254|||||||||12|7|
1000000255|||||||||||
1000000256|13|8|||||||||
1000000257|12|10|12|9|11|6|11|6|11|7|
1000000258|12|3|12|4|11|2|11|1|11|1|
1000000259|11|7|11|7|11|7|11|7|11|7|
1000000260|11|7|11|8|11|8|11|7|11|10|
1000000261|12|14|12|10|12|15|12|17|||
1000000262|||12|7|12|6|12|6|12|7|
1000000263|11|3|11|3|11|3|11|3|11|3|
1000000264|11|7|11|8|11|8|11|10|11|11|
1000000265|11|6|11|6|11|3|11|3|11|3|
1000000266|11|4|11|4|11|4|12|8|12|6|
1000000267|||||||11|2|11|3|
1000000268|11|6|11|6|11|6|11|6|11|6|
1000000269|13|10|||||||||
1000000270|11|8|11|8|11|13|11|13|11|17|
1000000271|12|6|12|5|11|4|11|4|11|4|
1000000272|12|5|12|5|12|5|12|5|12|5|
1000000273|11|5|11|5|11|5|11|5|11|5|
1000000274|12|8|12|7|12|7|12|7|12|7|
1000000275|13|8|13|8|13|7|13|7|13|7|
1000000276|15|7|15|6|13|17|13|17|||
1000000277|12|10|12|9|12|9|12|9|12|10|
1000000278|||||||||11|7|
1000000279|11|5|11|5|11|5|11|4|11|4|
1000000280|13|7|||13|6|||||
1000000282|11|7|11|7|11|5|11|5|11|4|
1000000283|||||11|13|11|6|12|7|
1000000284|11|2|11|2|11|2|11|2|11|2|
1000000285|||||||11|13|11|10|
1000000286|11|4|11|4|11|4|11|4|11|4|
1000000287|||13|6|13|12|13|13|13|11|
1000000288|11|6|11|13|11|13|11|13|11|7|
1000000289|11|2|11|2|11|3|11|3|11|4|
1000000290|||||12|8|||||
1000000291|11|13|11|6|11|6|11|6|11|6|
1000000292|11|13|11|9|11|10|11|10|11|10|
1000000293|12|3|12|6|12|6|12|5|13|7|
1000000294|11|9|11|9|11|8|11|9|11|10|
1000000295|||12|7|12|6|12|14|||
1000000296|12|6|12|6|11|7|11|6|11|6|
1000000297|||||||||||
1000000298|11|1|11|1|||||||
1000000299|12|14|12|14|12|16|||||
1000000300|||||11|10|11|10|11|12|
1000000301|15|6|15|7|15|7|12|10|12|6|
1000000302|12|10|||||||||
1000000303|11|14|11|14|||||||
1000000304|11|6|11|8|11|6|11|5|11|5|
1000000305|11|3|11|3|11|2|11|2|11|2|
1000000306|||11|3|11|3|11|3|11|3|
1000000307|11|8|11|8|11|8|11|8|11|8|
1000000308|||||||12|8|12|7|
1000000309|13|9|||||||||
1000000310|11|6|11|5|11|5|11|5|11|5|
1000000311|12|14|12|8|12|9|||||
1000000312|11|8|11|8|11|10|11|13|12|17|
1000000313|||||||||||
1000000314|||||||||||
1000000315|11|8|11|11|11|10|12|14|||
1000000316|12|11|12|8|12|8|12|8|12|11|
1000000317|||13|7|13|12|||||
1000000318|12|11|12|9|11|6|11|5|11|7|
1000000319|12|4|12|5|12|3|12|3|12|3|
1000000320|11|2|11|2|11|2|11|2|11|2|
1000000321|||||||||||
1000000322|12|8|11|8|11|7|||||
1000000323|12|7|12|5|12|4|||||
1000000325|11|8|11|8|11|8|11|9|11|7|
1000000326|11|10|11|10|11|10|11|10|11|10|
1000000327|||||||||11|4|
1000000328|15|6|13|7|13|9|13|9|13|9|
1000000329|12|15|12|14|12|14|12|14|12|7|
1000000330|11|6|11|5|11|5|11|6|||
1000000331|||||11|11|11|9|11|8|
1000000332|11|4|11|4|11|4|11|4|11|4|
1000000333|||11|3|11|3|11|3|11|3|
1000000334|||||13|10|13|11|||
1000000335|12|7|12|7|12|8|12|5|12|5|
1000000336|13|10|13|9|13|12|||||
1000000337|11|9|11|9|11|10|11|9|11|9|
1000000338|15|8|13|8|||||||
1000000339|12|14|12|14|12|14|12|14|12|14|
1000000340|||||||||||
1000000341|12|8|12|8|12|8|12|9|12|9|
1000000342|13|10|13|9|13|9|13|8|13|9|
1000000343|12|5|11|8|11|4|11|3|11|4|
1000000344|||13|6|13|9|13|9|13|7|
1000000345|12|13|12|13|||||||
1000000346|12|8|12|8|12|17|12|14|12|18|
1000000347|12|8|12|8|12|13|12|9|12|8|
1000000348|11|9|11|9|11|9|11|9|11|10|
1000000349|12|6|12|8|12|13|12|7|12|7|
1000000350|||||||12|12|12|12|
1000000351|13|13|13|11|13|10|13|10|13|10|
1000000352|12|13|12|13|12|14|||||
1000000353|11|5|11|5|11|5|11|4|11|4|
1000000354|11|11|11|8|11|6|||||
1000000355|12|8|12|8|12|7|12|7|12|8|
1000000356|12|10|12|7|12|7|12|6|12|5|
1000000357|11|8|11|10|11|13|11|9|11|13|
1000000358|11|7|11|7|11|8|11|8|11|9|
1000000359|11|3|11|4|11|4|11|5|11|4|
1000000360|12|10|12|11|12|13|12|14|12|14|
1000000361|12|3|12|4|12|3|12|3|12|3|
1000000362|13|9|12|10|12|14|12|14|13|14|
1000000363|11|5|11|5|11|5|11|5|||
1000000364|12|14|12|5|||||||
1000000365|||||||11|4|11|5|
1000000366|11|8|11|8|11|7|11|7|11|7|
1000000367|13|12|13|12|13|10|||||
1000000368|12|7|||12|10|12|7|12|7|
1000000369|12|7|12|6|12|9|||||
1000000370|||||12|7|12|8|12|8|
1000000371|||||11|14|11|7|11|9|
1000000372|11|13|11|14|11|14|11|13|11|14|
1000000373|||||11|6|11|6|11|6|
1000000374|||||13|16|||||
1000000375|12|9|12|9|12|9|12|8|12|7|
1000000376|||11|8|11|8|11|7|11|7|
1000000377|13|7|13|7|13|7|13|7|13|7|
1000000378|13|11|13|13|||||||
1000000379|12|7|12|7|12|8|11|13|12|9|
1000000380|||||12|9|12|7|12|6|
1000000381|11|3|11|3|11|3|11|3|11|3|
1000000382|11|5|11|5|11|5|11|9|11|6|
1000000383|13|14|13|15|||||||
1000000384|11|8|11|8|11|9|11|9|11|9|
1000000385|11|5|11|4|11|4|11|4|11|3|
1000000386|11|8|11|8|11|8|11|7|11|6|
1000000387|11|14|11|10|||||||
1000000388|12|11|||||||||
1000000389|12|5|12|3|12|3|12|2|12|3|
1000000390|11|6|11|5|11|4|11|3|11|4|
1000000391|||12|6|12|6|12|6|12|5|
1000000392|12|12|12|13|12|9|12|12|12|13|
1000000393|11|10|11|10|11|11|11|10|11|10|
1000000394|12|14|12|14|12|14|12|14|12|14|
1000000395|11|3|11|3|11|3|11|3|11|4|
1000000396|12|11|12|14|12|14|12|12|12|12|
1000000398|||||||||12|8|
1000000399|11|9|11|9|11|15|||||
1000000400|12|13|12|13|12|10|12|9|12|9|
1000000401|13|11|13|13|13|10|13|9|13|8|
1000000402|12|10|12|10|12|10|12|10|||
1000000403|||||||12|5|12|5|
1000000404|11|6|11|6|11|6|11|5|11|5|
1000000405|12|6|12|4|12|6|12|6|12|6|
1000000406|12|6|12|5|12|5|12|8|12|7|
1000000407|12|14|12|16|||||||
1000000409|12|10|12|9|11|6|11|7|11|7|
1000000410|12|6|12|6|||||12|5|
1000000411|||||||11|3|11|3|
1000000412|11|5|11|4|11|4|11|4|11|4|
1000000413|12|6|12|7|12|7|12|14|12|13|
1000000414|12|7|12|7|12|5|12|6|12|5|
1000000415|12|5|11|5|11|5|11|4|11|4|
1000000416|||13|8|13|10|13|10|13|10|
1000000417|12|12|12|13|12|17|||||
1000000419|||||12|6|12|7|12|7|
1000000420|15|8|15|8|15|7|15|7|13|7|
1000000421|11|6|||||||||
1000000422|12|7|12|10|12|12|12|14|12|14|
1000000423|12|14|12|14|12|14|12|14|12|14|
1000000424|11|7|11|6|11|7|11|7|11|7|
1000000425|||||||12|4|12|4|
1000000426|||||13|8|13|9|||
1000000427|13|14|13|13|||||||
1000000428|||||||13|11|12|14|
1000000429|12|4|12|9|||||||
1000000430|12|11|12|14|12|14|12|10|||
1000000431|11|9|11|13|11|13|11|13|11|14|
1000000432|||||||11|5|11|5|
1000000433|||||||||12|9|
1000000434|11|5|||11|5|11|5|11|5|
1000000435|12|13|||||||||
1000000436|12|13|||||||||
1000000437|||12|9|12|9|13|6|||
1000000438|11|4|11|3|11|4|11|4|11|4|
1000000439|||||11|10|11|12|||
1000000440|12|6|12|6|12|7|12|7|||
1000000441|||||12|4|12|3|12|5|
1000000442|12|6|12|11|12|7|11|8|12|6|
1000000443|11|8|11|9|11|13|||||
1000000444|11|7|11|7|11|7|11|7|11|7|
1000000445|11|8|11|9|11|9|11|9|11|8|
1000000446|12|7|12|7|12|7|12|7|12|7|
1000000447|13|5|13|6|13|6|13|6|13|8|
1000000448|13|8|13|8|13|9|13|9|13|9|
1000000449|13|12|13|13|13|14|13|14|||
1000000450|12|13|12|13|12|13|12|13|12|13|
1000000451|11|7|12|8|11|6|12|7|12|6|
1000000452|12|7|12|10|12|14|12|14|12|14|
1000000453|12|12|||||||||
1000000454|||||12|5|13|8|||
1000000455|||||||11|13|11|13|
1000000456|13|8|13|8|13|10|13|9|13|13|
1000000457|13|7|13|8|13|10|13|10|13|10|
1000000458|||||||12|8|12|7|
1000000459|||||||12|4|12|4|
1000000460|||||||11|4|12|7|
1000000461|12|5|12|4|12|4|12|5|12|7|
1000000462|12|7|||||||||
1000000463|12|8|12|8|12|9|12|9|12|8|
1000000464|11|8|11|7|11|7|11|7|11|7|
1000000465|12|13|12|8|12|13|12|13|12|13|
1000000466|||13|6|13|10|||||
1000000467|11|6|11|6|11|6|11|6|11|6|
1000000468|12|14|12|14|12|10|12|8|12|7|
1000000469|||11|8|11|10|11|8|11|7|
1000000470|13|14|13|14|13|17|||||
1000000471|12|13|12|13|12|13|12|13|12|13|
1000000472|12|12|12|8|12|8|12|10|||
1000000473|11|5|11|6|11|5|11|3|11|7|
1000000474|11|13|11|13|11|13|11|13|11|13|
1000000475|11|3|11|3|11|3|11|3|11|4|
1000000476|12|5|12|5|12|5|12|5|12|5|
1000000478|||||||13|5|13|6|
1000000479|12|6|12|5|12|7|12|6|12|8|
1000000480|11|8|11|8|11|7|11|6|11|6|
1000000481|12|5|12|4|12|4|12|5|12|5|
1000000482|||||||||||
1000000483|13|8|||||||||
1000000484|12|9|12|8|12|6|12|5|12|6|
1000000485|13|6|13|6|13|7|13|7|13|8|
1000000486|11|13|11|10|11|10|11|10|11|10|
1000000487|12|5|12|8|12|8|||12|4|
1000000488|11|2|11|2|11|2|11|2|11|3|
1000000489|12|7|12|7|12|7|12|7|12|8|
1000000490|||||||13|8|13|8|
1000000491|||||||12|13|12|13|
1000000492|11|5|11|5|11|5|11|5|11|5|
1000000493|13|6|13|7|13|7|12|4|12|3|
1000000494|12|8|12|7|12|7|||||
1000000495|11|6|11|6|11|6|11|6|11|6|
1000000496|12|3|12|3|12|3|12|3|12|3|
1000000497|12|8|12|10|12|8|||||
1000000498|||||||||12|6|
1000000499|||||||||12|15|
1000000500|11|5|11|5|11|5|11|5|11|5|
1000000501|12|9|11|3|12|6|12|10|12|10|
1000000502|13|8|||||||||
1000000503|11|5|11|3|11|3|11|3|11|3|
1000000504|11|8|11|8|11|11|11|11|11|7|
1000000505|12|8|12|8|12|10|12|11|12|10|
1000000506|12|8|12|8|12|8|12|7|||
1000000507|||||||12|4|12|4|
1000000508|13|6|13|4|13|9|13|8|13|9|
1000000509|12|3|12|3|12|3|11|3|11|3|
1000000510|12|9|12|10|12|10|12|11|12|12|
1000000511|11|14|11|14|11|14|11|14|11|14|
1000000512|15|8|15|8|15|7|15|10|13|13|
1000000513|11|7|11|8|11|7|11|8|11|8|
1000000514|13|7|13|6|||13|8|13|10|
1000000515|||||||||11|13|
1000000516|12|4|12|4|12|4|12|2|12|2|
1000000517|11|4|11|4|11|5|11|5|11|5|
1000000518|11|2|11|1|11|1|11|1|||
1000000519|11|8|11|7|11|5|11|4|11|6|
1000000520|||11|7|11|6|11|5|11|4|
1000000521|11|2|11|2|11|2|11|2|11|2|
1000000522|11|7|11|6|11|6|11|6|11|6|
1000000523|11|2|11|2|11|2|11|2|11|2|
1000000524|||||||||12|4|
1000000525|12|6|12|4|12|4|12|4|12|4|
1000000527|12|10|12|11|12|12|12|11|12|9|
1000000528|13|13|||||||||
1000000529|11|4|11|5|11|5|11|4|||
1000000530|12|14|||||||||
1000000531|13|10|13|11|13|13|13|13|13|11|
1000000532|11|5|11|4|11|5|11|3|11|4|
1000000533|11|8|||||||||
1000000534|12|7|12|6|12|7|12|7|12|7|
1000000535|11|9|11|9|11|9|11|9|11|9|
1000000536|||11|10|11|10|11|11|11|8|
1000000537|11|4|11|6|11|6|11|10|11|12|
1000000538|||||||11|8|11|8|
1000000539|12|9|12|8|12|9|12|9|12|9|
1000000540|11|6|11|7|11|8|11|8|11|13|
1000000541|||12|8|12|8|12|8|12|9|
1000000543|12|6|||||||12|4|
1000000544|12|7|12|9|||||||
1000000545|11|5|11|5|11|5|11|4|11|4|
1000000547|12|5|11|2|12|6|12|7|12|13|
1000000548|13|5|13|5|13|5|13|5|13|5|
1000000550|12|12|12|11|12|12|12|11|12|12|
1000000551|12|8|12|8|12|7|12|9|12|9|
1000000552|||||||13|13|13|9|
1000000553|11|4|11|4|11|4|11|4|11|4|
1000000554|11|7|11|8|11|11|11|10|11|11|
1000000555|12|5|||||||||
1000000556|11|4|11|4|11|4|11|4|11|4|
1000000557|12|4|12|7|12|14|||||
1000000558|13|7|13|13|13|10|13|13|13|9|
1000000559|11|5|||||||||
1000000560|13|14|13|13|13|13|13|14|13|17|
1000000561|||||13|8|13|10|13|8|
1000000562|12|16|||||||||
1000000563|13|6|13|6|13|6|13|6|13|8|
1000000564|||13|7|12|12|12|14|12|14|
1000000565|12|7|12|7|12|5|12|5|12|5|
1000000566|11|3|11|2|11|3|11|3|11|3|
1000000567|||||13|9|13|9|13|8|
1000000568|11|6|11|6|11|5|11|3|11|3|
1000000569|11|4|11|4|12|6|12|4|12|6|
1000000570|13|13|13|9|13|10|13|10|13|9|
1000000571|||||12|11|12|12|12|13|
1000000572|11|2|11|2|11|2|11|2|11|2|
1000000573|11|5|11|4|11|4|11|4|11|5|
1000000574|12|8|12|7|11|6|11|6|11|9|
1000000575|11|5|11|3|11|2|11|2|11|2|
1000000576|||13|9|13|9|13|6|13|6|
1000000577|12|8|12|7|12|7|12|7|12|6|
1000000578|13|10|13|10|13|13|13|11|||
1000000579|||||||13|8|13|8|
1000000580|15|5|||13|4|13|6|||
1000000581|12|13|12|10|12|12|12|10|12|8|
1000000582|11|5|11|5|11|5|11|5|11|3|
1000000583|||||||||12|7|
1000000584|11|3|11|2|||||||
1000000585|13|10|||13|9|13|7|13|8|
1000000586|12|4|12|4|12|4|12|4|12|4|
1000000587|11|5|11|4|11|6|11|6|11|6|
1000000588|11|5|11|4|11|4|11|4|11|4|
1000000589|13|6|13|6|13|6|13|6|12|5|
1000000590|||||13|8|13|8|13|8|
1000000591|||||||||12|6|
1000000592|||13|5|13|5|||||
1000000593|11|4|11|4|11|5|11|5|11|5|
1000000594|13|13|13|10|||||13|9|
1000000595|13|13|||||||||
1000000596|12|5|12|7|12|7|12|6|12|6|
1000000597|12|10|12|13|||||||
1000000598|12|5|12|5|12|5|12|4|12|3|
1000000599|||||13|6|13|8|13|7|
1000000600|11|3|11|3|11|3|11|3|11|3|
1000000601|||||||||13|13|
1000000602|||||||||12|11|
1000000603|||||||||||
1000000604|11|3|11|3|11|3|11|3|11|3|
1000000605|13|8|13|8|13|8|13|9|13|13|
1000000606|12|5|12|7|12|6|12|7|12|6|
1000000607|11|6|11|6|11|6|11|6|||
1000000608|13|7|||||||||
1000000609|11|7|11|7|11|7|11|7|11|7|
1000000610|13|8|13|8|||||||
1000000611|||13|8|13|8|13|8|13|8|
1000000612|12|6|12|6|12|5|12|5|12|5|
1000000613|12|10|12|11|12|17|||||
